,,sent_count,sent_count,sent_count,sent_count,sent_count,sent_count,sent_count,sent_count,mean_sent_length,mean_sent_length,mean_sent_length,mean_sent_length,mean_sent_length,mean_sent_length,mean_sent_length,mean_sent_length,sent_length_var,sent_length_var,sent_length_var,sent_length_var,sent_length_var,sent_length_var,sent_length_var,sent_length_var
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
domain,source,,,,,,,,,,,,,,,,,,,,,,,,
essay,claude,1000.0,21.02,4.27,9.0,18.0,21.0,23.0,42.0,1000.0,21.88,3.14,14.39,19.63,21.55,23.84,36.0,1000.0,77.44,56.58,11.95,44.3,63.35,94.73,969.54
essay,gpt,1000.0,27.41,7.94,10.0,21.0,27.0,32.0,72.0,1000.0,20.78,2.65,9.88,19.12,20.62,22.28,44.8,1000.0,47.62,81.93,10.45,25.89,33.93,46.55,1898.4
essay,human,994.0,31.05,28.97,1.0,15.0,22.0,35.0,337.0,994.0,21.24,3.08,6.0,19.28,21.0,23.14,33.32,993.0,57.83,76.16,5.24,32.83,44.7,63.81,1797.25
reuter,claude,1000.0,14.54,2.98,5.0,12.0,14.0,16.0,26.0,1000.0,27.39,4.75,16.55,24.17,26.59,30.07,61.6,1000.0,176.18,162.92,22.14,98.07,143.88,210.1,3905.8
reuter,gpt,1000.0,20.41,5.58,3.0,16.0,20.0,24.0,45.0,1000.0,25.0,3.63,15.58,22.44,24.65,27.06,43.5,1000.0,77.31,83.01,4.3,35.98,57.36,91.13,1702.45
reuter,human,1000.0,19.48,5.89,2.0,16.0,19.0,23.0,53.0,1000.0,25.95,4.18,14.71,23.18,25.67,28.33,48.14,1000.0,155.12,251.99,4.33,84.57,118.21,171.83,7175.48
wp,claude,1000.0,29.08,9.69,1.0,22.0,28.0,35.0,71.0,1000.0,13.86,2.98,5.61,11.76,13.54,15.5,29.62,994.0,58.48,33.78,4.5,36.89,51.02,71.18,403.92
wp,gpt,1000.0,30.18,13.02,1.0,20.0,31.0,40.0,147.0,1000.0,16.48,3.5,4.12,15.0,16.44,17.86,100.0,998.0,38.99,21.21,2.04,25.83,34.86,47.15,250.41
wp,human,1000.0,40.38,28.5,1.0,19.75,34.0,55.0,177.0,1000.0,14.93,11.6,4.48,10.89,13.12,16.18,238.0,997.0,130.99,689.02,0.57,43.85,65.24,107.72,15414.0
